epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5432,0.87898,2.25967,1.42601,0.00317,0.95238,0.351,0.18235,1.12201,3.35541,1.59381,0.0004,0.0004,0.0004
2,15.7415,0.74907,1.40691,1.32323,0.6853,0.38095,0.45855,0.1689,2.1406,4.00251,2.5419,0.00077941,0.00077941,0.00077941
3,20.1471,0.81951,1.30187,1.36918,0.59191,0.66667,0.60964,0.4273,1.38722,2.40133,1.70285,0.00111724,0.00111724,0.00111724
4,24.1954,0.83068,1.20126,1.33176,0.77111,0.7619,0.696,0.45304,1.5272,2.84128,2.19211,0.00141349,0.00141349,0.00141349
5,29.4774,0.82671,1.17577,1.34599,0.62977,0.72942,0.73464,0.50871,1.49005,3.04086,2.04538,0.001604,0.001604,0.001604
6,33.5069,0.74068,1.06279,1.25582,0.78009,0.67609,0.7334,0.48012,2.15799,2.71597,2.35885,0.001505,0.001505,0.001505
7,37.4263,0.77554,1.058,1.29139,0.72189,0.61905,0.665,0.46098,2.20337,3.91456,3.19131,0.001406,0.001406,0.001406
8,42.3991,0.77105,1.03052,1.30759,0.45773,0.61905,0.57734,0.38826,2.20124,2.39788,2.63626,0.001307,0.001307,0.001307
9,46.3786,0.71509,0.92912,1.24951,0.70153,0.7619,0.78314,0.54087,1.94961,1.94252,2.21414,0.001208,0.001208,0.001208
10,50.464,0.72927,0.90339,1.26368,0.9496,0.89759,0.88614,0.58114,1.90699,1.44387,2.22135,0.001109,0.001109,0.001109
11,56.6835,0.76135,1.18647,1.41047,0.86168,0.7619,0.81058,0.54372,1.47876,1.6029,2.04995,0.00101,0.00101,0.00101
12,60.4553,0.68194,1.05959,1.3331,0.94109,0.76077,0.84857,0.5771,1.44539,2.04985,1.92753,0.000911,0.000911,0.000911
13,64.2433,0.68348,1.01164,1.3137,1,0.89056,0.95697,0.70321,1.25367,2.14564,1.62451,0.000812,0.000812,0.000812
14,69.1601,0.6275,0.94171,1.28215,0.91966,0.80952,0.88839,0.66746,1.38468,2.00335,1.60744,0.000713,0.000713,0.000713
15,72.9745,0.571,0.82994,1.24774,0.93989,0.74525,0.87014,0.66191,1.34368,2.11498,1.59384,0.000614,0.000614,0.000614
16,76.8478,0.59834,0.81732,1.23762,0.81528,0.85714,0.86959,0.70126,1.58545,2.33534,1.7414,0.000515,0.000515,0.000515
17,81.9353,0.58964,0.75434,1.20757,0.8692,0.94944,0.9324,0.664,1.67849,2.14875,1.83974,0.000416,0.000416,0.000416
18,85.6744,0.53225,0.69323,1.17372,0.8656,0.95238,0.9503,0.72152,1.60559,1.86796,1.80133,0.000317,0.000317,0.000317
19,89.4375,0.51904,0.68594,1.14164,0.86175,0.89089,0.92351,0.71333,1.66116,2.07969,1.89941,0.000218,0.000218,0.000218
20,94.2949,0.49315,0.64721,1.15101,0.89069,0.85714,0.91624,0.68361,1.77261,1.98889,2.08976,0.000119,0.000119,0.000119
