epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.88827,0.87898,2.25967,1.42601,0.00317,0.95238,0.351,0.18235,1.12201,3.35541,1.59381,0.0004,0.0004,0.0004
2,12.9387,0.75944,1.41989,1.32362,0.65685,0.38095,0.48117,0.20709,2.30981,4.04613,2.90093,0.000803764,0.000803764,0.000803764
3,17.718,0.82786,1.3223,1.39081,0.54182,0.42857,0.49711,0.3562,1.90818,3.47522,2.11021,0.0011909,0.0011909,0.0011909
4,22.088,0.80851,1.24542,1.32282,0.79923,0.56888,0.70902,0.31075,2.25157,2.75493,2.67337,0.0015614,0.0015614,0.0015614
5,26.0361,0.84194,1.19241,1.37308,0.49444,0.69893,0.52338,0.24142,2.09321,3.623,2.53855,0.0018416,0.0018416,0.0018416
6,30.8264,0.81788,1.11686,1.3166,0.65066,0.53256,0.53946,0.23135,2.22224,2.8511,2.56573,0.001802,0.001802,0.001802
7,35.0039,0.80188,1.1083,1.31773,0.62249,0.80952,0.74808,0.50918,2.58673,5.79297,3.67054,0.0017624,0.0017624,0.0017624
8,38.9676,0.82356,1.08015,1.34619,0.55972,0.85714,0.70151,0.39552,2.05498,4.37605,2.3186,0.0017228,0.0017228,0.0017228
9,43.7631,0.77486,1.01113,1.29941,0.74493,0.71429,0.72583,0.50429,2.35849,1.80912,3.04319,0.0016832,0.0016832,0.0016832
10,47.9085,0.79319,0.9362,1.30614,0.39491,0.33333,0.34656,0.07548,2.73545,1.88058,3.07309,0.0016436,0.0016436,0.0016436
11,51.7917,0.76115,0.95717,1.30058,0.75974,0.71429,0.72205,0.43035,2.52558,2.02315,2.99135,0.001604,0.001604,0.001604
12,56.5795,0.7373,0.95031,1.27795,0.73495,0.57143,0.66084,0.4736,1.74992,1.39226,1.94847,0.0015644,0.0015644,0.0015644
13,60.6796,0.70137,0.8158,1.25344,0.94027,0.75013,0.83561,0.53891,2.00687,1.61908,2.33446,0.0015248,0.0015248,0.0015248
14,64.6162,0.74843,0.82273,1.26404,0.78773,0.90476,0.8992,0.57301,1.78223,1.08581,1.98739,0.0014852,0.0014852,0.0014852
15,69.4528,0.65056,0.73945,1.20268,0.89842,0.84285,0.83747,0.59388,1.58325,0.87044,1.8401,0.0014456,0.0014456,0.0014456
16,73.7691,0.63966,0.72711,1.17822,0.81796,0.8559,0.83256,0.55731,2.12048,1.85658,2.44187,0.001406,0.001406,0.001406
17,77.6657,0.71897,0.73684,1.21716,0.87401,0.85714,0.84378,0.58847,1.57567,1.28471,1.80728,0.0013664,0.0013664,0.0013664
18,82.5371,0.64123,0.67233,1.19603,0.91046,0.85714,0.89271,0.63494,2.16712,2.28918,2.51058,0.0013268,0.0013268,0.0013268
19,86.5792,0.65643,0.68988,1.21603,0.80436,0.80952,0.76204,0.59918,2.16021,2.48555,2.42525,0.0012872,0.0012872,0.0012872
